id,name,type,include_initial_balance
data_account_type_start_up_expenses,Start up Expenses,other,True
data_account_type_prepaid_expenses,Prepaid Expenses,other,True
data_account_type_special_reserve_items,Special reserve Items,other,True
data_account_type_accruals,Accruals,other,True
data_account_type_promotion_obligations,Promotion Obligations,other,True
data_account_type_deferred_income,Deferred Income,other,True
data_account_type_income_neutral_items,Income Neutral items,other,False
data_account_type_appropriation_bill,Appropriation Bill,other,False
data_account_type_special_purpose_operations_turned_taxable,Special Purpose Operations turned taxable,other,False
data_account_type_statistical_accounts,Statistical Accounts,other,False
